tool_type,lost_year,latitude,longitude,num_tools_lost
LobsterTrap,2020,60.261685084263185,4.9331193198415555,3
LobsterTrap,2020,61.74134290181055,4.948076494038105,1
LobsterTrap,2022,63.01240550958075,7.740257754921913,1
LobsterTrap,2020,59.13755219252058,10.483798873172855,2
LobsterTrap,2020,59.84445965183538,10.629075653851032,1
LobsterTrap,2020,59.06221378623756,10.862683891696834,2
LobsterTrap,2021,59.06849531384397,10.252056308090687,1
LobsterTrap,2022,58.06296084489613,7.873680889606477,1
LobsterTrap,2020,58.48331178054541,5.818924538310318,2
LobsterTrap,2020,58.32567731049528,8.644803644367611,1
LobsterTrap,2021,60.49454709273998,4.926963485777378,1
LobsterTrap,2022,62.50609146974306,6.079846565581988,1
LobsterTrap,2020,59.86389986473691,5.073225700218444,1
LobsterTrap,2021,59.27138839446391,5.386427901685239,1
