Lat;Lon;Time Range;Apparent Fishing hours
69,5;17,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;8,051944
68,1;14,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;24,201389
72,6;24,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;1,425
72,3;25;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;6,075
72,2;25,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;2,8275
72;25,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;7,027778
72,4;26,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;0,994444
71,6;26,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;12,486389
71,6;26,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;9,774722
72,4;26,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;2,777778
72,4;27,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;0,897778
72,3;27,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,858889
71,7;27;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;0,638611
71,2;22,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;102,468889
71,1;22,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;159,331944
71,2;23,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;33,696944
71,1;22,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;114,346944
71,3;23,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;23,043889
71,2;23,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;41,315556
71,2;23,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;115,569722
71,2;23,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;186,481944
71,5;25,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;28,771944
71,5;25,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;29,7575
71,4;25,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;20,14
71,4;25,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;32,726667
71,5;26,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;31,681944
71,4;26,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;38,858889
71,5;26,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;43,069722
71,5;26,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;66,004722
71,4;26,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;23,611111
71,4;26,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;23,651389
71,5;27;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;13,831111
71,3;27,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;5,275278
71,3;28;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;14,140833
72,2;28,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;0,999722
72,3;29,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;2,238333
71,3;28,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;10,559722
70,7;30;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;14,519722
70,2;31,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;64,216944
70,2;31,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;15,138611
62,6;4,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;32,395556
62,7;5,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;49,357778
62,7;5,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;17,351389
62,6;5,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;11,079167
62,8;5,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,953889
61;2,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;6,044722
61;2,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;19,819444
58,6;5,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;95,92
58,5;5,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;140,361111
57,9;5,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;23,963056
